date,MOM,market,SMB,HML,RMW,CMA,BAB
1992-07-31,0.054299999999999994,-0.0049,0.0174,-0.02,0.0393,-0.027200000000000002,-0.0138334411217
1992-08-31,0.0567,-0.0364,-0.0025,-0.023,0.035699999999999996,-0.0225,-0.0134692123452
1992-09-30,-0.0184,-0.012199999999999999,-0.0329,-0.0011,0.0134,0.0098,0.004553353527
1992-10-31,-0.0132,0.044000000000000004,0.0,-0.0075,-0.026699999999999998,-0.0513,-0.0205120682099
1992-11-30,-0.0345,-0.0072,0.0279,-0.0060999999999999995,0.0016,-0.08789999999999999,-0.0277703411816
1992-12-31,0.0086,0.0197,0.011200000000000002,-0.028399999999999998,0.0083,-0.0178,0.0428383463437
1993-01-31,0.011000000000000001,-0.0086,-0.015700000000000002,0.0152,-0.012199999999999999,0.0118,0.0409130519855
1993-02-28,0.034300000000000004,0.031200000000000002,0.0308,0.0552,-0.023399999999999997,0.0146,0.0419625116683
1993-03-31,-0.0315,0.032,0.0155,-0.015,-0.0146,-0.07,0.0426943016063
1993-04-30,0.0258,0.0409,0.0412,0.0559,-0.0611,0.0599,0.0541778020699
1993-05-31,0.0187,0.041100000000000005,0.0334,0.0408,-0.047400000000000005,0.052199999999999996,0.054767111013
1993-06-30,-0.0364,0.0024,-0.0259,-0.0229,0.0002,-0.031400000000000004,0.00770894752833
1993-07-31,0.0066,0.0345,0.0070999999999999995,-0.0197,0.0152,-0.005600000000000001,0.0130573141685
1993-08-31,0.020499999999999997,0.08259999999999999,0.0124,0.059699999999999996,-0.0273,0.0087,0.0218962590169
1993-09-30,0.057800000000000004,0.0461,0.0338,0.0301,-0.0231,0.014499999999999999,0.0334358079959
1993-10-31,0.0908,0.0942,0.0426,-0.0258,0.0152,-0.046,0.00701301213556
1993-11-30,0.0512,0.0602,0.0317,0.062400000000000004,-0.0519,0.0166,-0.0139119389803
1993-12-31,0.0128,0.18239999999999998,0.0256,0.0414,-0.038900000000000004,0.0152,0.00173041025628
1994-01-31,-0.0951,-0.013500000000000002,-0.053899999999999997,0.0209,-0.022000000000000002,0.0226,0.0254097050217
1994-02-28,0.0294,-0.0121,0.0729,0.0038,-0.006999999999999999,-0.0091,0.0149476597661
1994-03-31,-0.0273,-0.1162,-0.0031,-0.014199999999999999,0.0195,-0.0151,-0.00186623167677
1994-04-30,0.015700000000000002,-0.0052,-0.0102,-0.0072,0.0359,0.0086,0.00106765552442
1994-05-31,-0.0308,0.015600000000000001,-0.0556,0.0025,-0.0058,0.0278,0.00303903743878
1994-06-30,-0.0024,-0.033,0.016200000000000003,0.0079,-0.009000000000000001,0.0051,0.0227171236377
1994-07-31,0.009000000000000001,0.062400000000000004,-0.028399999999999998,0.0012,-0.0076,-0.013600000000000001,-0.00752356135431
1994-08-31,0.0642,0.11810000000000001,0.0363,-0.023700000000000002,-0.038,0.0089,-0.00983838567933
1994-09-30,0.0212,0.022099999999999998,0.042800000000000005,0.005600000000000001,-0.0111,0.0341,0.0212862426556
1994-10-31,0.003,-0.0322,-0.0008,0.0144,0.0138,0.018600000000000002,-0.0159229593673
1994-11-30,0.015600000000000001,-0.047,0.0053,0.0102,-0.0111,0.0088,-0.0274720365733
1994-12-31,0.0012,-0.0951,0.016,-0.0027,0.058899999999999994,0.0017000000000000001,-0.0152236351395
1995-01-31,0.060899999999999996,-0.12789999999999999,-0.0302,0.009300000000000001,0.0227,0.0204,-0.00167692529445
1995-02-28,-0.0344,0.0014000000000000002,0.027000000000000003,-0.0478,0.029500000000000002,0.0496,0.000816465793378
1995-03-31,0.0361,-0.0059,-0.0045000000000000005,-0.0173,0.018500000000000003,0.0003,0.0204051122519
1995-04-30,-0.0004,0.0215,-0.025,0.0275,-0.011399999999999999,-0.0128,0.00516634206775
1995-05-31,0.0191,0.0527,-0.028999999999999998,0.0129,0.0128,0.0189,0.00755878185219
1995-06-30,0.031200000000000002,0.0006,-0.0040999999999999995,0.0222,0.0066,-0.0008,0.00552982960046
1995-07-31,0.0018,0.025699999999999997,0.009399999999999999,-0.0018,0.005,-0.015600000000000001,-0.00556111832972
1995-08-31,0.004,-0.0286,0.011000000000000001,-0.008,0.0109,0.0064,0.00439553356247
1995-09-30,-0.0007000000000000001,-0.0088,-0.0118,0.025099999999999997,-0.0088,0.019,0.0230503268637
1995-10-31,0.0558,-0.039599999999999996,-0.0008,-0.0154,0.0089,-0.0048,-0.0046829638404
1995-11-30,0.0467,-0.0154,0.0052,-0.0213,0.0138,-0.0018,-0.0153701438096
1995-12-31,0.013000000000000001,0.029500000000000002,-0.0021,-0.0207,0.0203,-0.0027,0.0157546517033
1996-01-31,-0.022799999999999997,0.08449999999999999,0.018000000000000002,-0.0163,0.0055000000000000005,-0.0069,0.0134111881859
1996-02-29,0.0149,-0.0271,0.0258,-0.0060999999999999995,0.0217,-0.0059,0.015959379983
1996-03-31,0.015600000000000001,0.008199999999999999,0.0321,-0.0302,0.022400000000000003,-0.008,0.00668217977431
1996-04-30,-0.0195,0.0208,0.024,-0.0217,0.0032,0.0032,0.0269489715183
1996-05-31,-0.0113,-0.0177,-0.0373,0.0078000000000000005,-0.0013,0.0101,0.0192714808041
1996-06-30,0.0335,0.0072,0.018500000000000003,-0.0060999999999999995,0.0096,-0.0008,0.0232139992309
1996-07-31,0.0229,-0.058600000000000006,0.0286,-0.0062,0.0014000000000000002,0.006500000000000001,0.00772793022898
1996-08-31,0.0431,0.0262,0.008100000000000001,-0.043899999999999995,0.0151,-0.0017000000000000001,-0.000177428805463
1996-09-30,0.0236,0.010700000000000001,0.023700000000000002,-0.0189,-0.0032,-0.0049,-0.000326029183478
1996-10-31,0.0254,-0.022000000000000002,0.023399999999999997,0.0027,0.019299999999999998,-0.0147,0.0221369855436
1996-11-30,-0.0031,0.0109,-0.0125,0.028399999999999998,-0.0095,0.0001,0.00322666131534
1996-12-31,0.0024,0.002,-0.024700000000000003,0.015700000000000002,0.0077,-0.001,0.00838058175001
1997-01-31,0.0166,0.0662,0.0125,0.0451,-0.009300000000000001,0.0143,0.0090997258535
1997-02-28,-0.006500000000000001,0.0478,0.006999999999999999,0.0005,-0.0305,0.0169,0.0323664507793
1997-03-31,0.0166,-0.0258,0.025099999999999997,-0.0159,0.019299999999999998,0.0005,0.0132888362635
1997-04-30,0.0208,-0.024300000000000002,-0.026000000000000002,0.059000000000000004,-0.0083,0.0058,-0.0115442101551
1997-05-31,0.030699999999999998,0.0269,-0.0179,0.0025,-0.004699999999999999,0.0078000000000000005,0.00549750244944
1997-06-30,0.0381,0.0437,-0.0092,0.030299999999999997,-0.0176,-0.015600000000000001,0.0317686340641
1997-07-31,0.0034999999999999996,0.0036,0.0022,0.042,0.0131,-0.0385,-0.00371931974596
